,dataset,classifier,best_f1_score,best_params
93,yeast_me2,KNeighborsClassifier,0.95939426,"{'n_neighbors': 14, 'weights': 'distance', 'metric': 'minkowski'}"
94,yeast_me2,DecisionTreeClassifier,0.96230505,"{'max_depth': 13, 'min_samples_split': 13, 'criterion': 'gini'}"
95,yeast_me2,MLPClassifier,0.961027868,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.019145707341241013, 'learning_rate_init': 0.0031803779666455465}"
96,yeast_me2,SVC,0.964243844,"{'C': 46.53864249358257, 'kernel': 'rbf', 'gamma': 'scale'}"
97,yeast_me2,RandomForestClassifier,0.955418523,"{'n_estimators': 163, 'max_depth': 11, 'min_samples_split': 14}"
98,mammography,Logistic regression,0.981053717,"{'C': 1.197015083088047, 'solver': 'lbfgs'}"
99,mammography,XGBoost,0.986300655,"{'n_estimators': 123, 'max_depth': 6, 'learning_rate': 0.1044656875744431, 'subsample': 0.9778901425151011}"
100,mammography,KNeighborsClassifier,0.985703776,"{'n_neighbors': 8, 'weights': 'distance', 'metric': 'manhattan'}"
101,mammography,DecisionTreeClassifier,0.982792166,"{'max_depth': 13, 'min_samples_split': 5, 'criterion': 'entropy'}"
102,mammography,MLPClassifier,0.986644006,"{'hidden_layer_sizes': (50, 50), 'activation': 'relu', 'alpha': 0.0012542430837485937, 'learning_rate_init': 0.0012015735467471522}"
103,mammography,SVC,0.984046978,"{'C': 26.284896799146658, 'kernel': 'poly', 'gamma': 'scale'}"
104,mammography,RandomForestClassifier,0.985727742,"{'n_estimators': 82, 'max_depth': 12, 'min_samples_split': 2}"
105,optical_digits,Logistic regression,0.96971749,"{'C': 47.671620731124584, 'solver': 'lbfgs'}"
106,optical_digits,XGBoost,0.990257441,"{'n_estimators': 136, 'max_depth': 3, 'learning_rate': 0.230489484985005, 'subsample': 0.8843667124845627}"
107,optical_digits,KNeighborsClassifier,0.992813753,"{'n_neighbors': 3, 'weights': 'uniform', 'metric': 'euclidean'}"
108,optical_digits,DecisionTreeClassifier,0.962685559,"{'max_depth': 16, 'min_samples_split': 14, 'criterion': 'entropy'}"
109,optical_digits,MLPClassifier,0.994610705,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0019060002974284264, 'learning_rate_init': 0.01316442660784474}"
110,optical_digits,SVC,0.99395001,"{'C': 9.1230894035044, 'kernel': 'poly', 'gamma': 'scale'}"
111,optical_digits,RandomForestClassifier,0.974902241,"{'n_estimators': 136, 'max_depth': 16, 'min_samples_split': 5}"
